content,sentimen
ok,1
say suka,1
"klo repost sw ga hd, kadang klo bikin sw jg ga hd tolobg perbaikin",1
"updatenya lama banget, perhp harus beda berbulan bulan bahkan bertahun tahun, sudah jadi apk komunikasi nomer 1 yang dibutuhin, tapi makin kemari makin banyak bug nya, ngtik sw sering bug, grafik sw selalu buriq dan malah lebih rendah dari gmbar asli, ohiya satu lagi, dlu mencadangkan gak seribet skrng, harus pakai kode yang 60 digit angka trs gakbisa di ss lu kira hrus di hapal apa, trs ada cara lain backup ke email, udh di backup tetep juga gkbisa nyambung pas di sinkronkan lagi ilang smua huh",0
"aku pengen update tp malah gak bisa, malah tambah suruh ulang",0
"WHATSAPP ADMINNYA SIAPA SEHHHH, dari kemarin mau hapus status masa ga keapus² ????????????????? dari tanggal 29 mei lohhhhhhhhhhh, pls perbaiki bug kyk gini. bikin risih tau gak !!!!!!!!",0
"ada lagi wa pake peninjauan emang gw teroris.bandar narkoba.makin gak jelas aja nih aplikasi.tdi pagi bisa dibuka sekarang gak bisa..mau tinjau tuh yg bener,org bener loe tinjau tolol",0
sangat menarik untuk di gunakan,1
lebih baik lagi ke depanya,1
aplikasi sangat membantu,1
asuw,0
kok habis update malah buat chat pesan gabisa dibatasi,0
knpa akun saya di blok,1
Sekarang wa jadi ngebug masa gw udah mute tapi masih ada nofikasinya sih,1
sangat bagus,1
bagus,1
sangat bahagia,1
sangat baik,1
bagus bisa menelfon,1
knpa wa saya gangguan terus,1
sangat membantu,1
jelek,0
sangat bagus,1
"aplikasi ini tu bagus tapi kurang nya harus pake kouta/wifi kalo mau tersampai kan,, menurut aku gak usah pake gitu2 an takut nanti kita2 teh ada keperluan buat nanyain tugas ke guru lewat aplilasi ini tapi gak ada kouta/wifi jadi gak tersampai kan trus kita di hukum",1
admin whatsapp sering otomatis nge blokir/banned no secara tiba tiba,0
good app,1
Whatsapp saya ga bisa digunakan,1
mantap,1
"saya tidak suka dengan adanya fitur premium, cukup perbaiki saja kualitas videonya menjadi hd saat di upload ke status",0
Baguss. hari ini WA Nya payah di update kembali. klo gk y mati. gk bisa di pakai lagi,1
bagus ap,1
beeguna bgt aplikasinya coba aja ada kuota gratis dari aplikasi ini tapi kurangnya kalau kita chat org kadang ga di jawab,1
Lemot,0
kenapa ya WhatsApp saya tidak bisa di buka padahal WhatsApp nya sudah bagus,1
kok sering di blokir ya wa nha,1
bagus,1
"tolong whatshapp,hilangkan apk yg bisa bug no hp kita dan ngeriset hp kita tolong hilangkan,soalnya ada apk pihak ke 3,yg bisa meriset hp orang dan Membuat hp kena virus atau dibug.",1
"knp saya tidak bisa masuk ya padahal udah punya akun tapi gatauu knp pas login jadi ga bisa udah download WhatsApp resmi juga tetep ga bisaa, saya kasih bintang lima agar terbaca banyak orng termasuk operator WhatsApp nya",1
sangat memuaskan,1
gada someone to talk. mending apus aja ni wa sepi.,1
mantap aplikasi ny sangn bagus,1
Bagus,1
"tidak lagi seperti biasanya WhatsApp ini, suda gak bagus lagi",0
jelek,0
WhatsApp sekarang terlalu banyak bug nya,0
ok,1
👍,1
"lah apasih whatsapp sekarang mah jelek, masa ga bisa masuk no biasanya sih malahan harus download whatsapp resmi pas di pencet di arahin ke chrome pas di chrome pencet instal malah ke PlayStore dan pas masukkin sama lagi ke gituh",0
"Halo wahatapp,akun whatapp saya tiba-tiba diblokir tidak di izinkan menggunakan whatsapp mohon di tinjau kembali untuk di pulihkan karena saya tidak melakukan spam.dan akun whatsaapp saya sangat penting",0
kenapaa ini masa harus download WhatsApp resmi ini gimana min aduh,0
gede banget ini aplikasi isinya apaan bisa nyampek 500 mb padahal jarang di gunakan bener bener menghambat hape jadulku,0
dengan wathsApp saya sangat mudah berkomonikasi,1
baik,1
baik,1
keren,0
terbaik dari yang terbaik,1
aman,1
cukup,1
ok,1
gmna cara durasi video lebih dari 30detik,1
Hp saya hp versi 4 samsung j1 ace semoga bisa trus gunakan aplikasi ini.,1
"terbaik,hanya akhir ini WhatsApp saya sering eror",1
wow,1
"kenapa sekarang whatsaap serjng bareng akun di batasi,padahal gak ngapa'in",1
cuku membantu,1
wa tiba2 log out banyak pesan hilang.,0
Lambat nya kalau donwlot,1
jadi lemot banget kenapa sih,0
Yju,0
sangat membantu,1
"Notifikasi WhatsApp sekarang sering enggak jalan. Kadang muncul, kadang enggak. Mau tau ada balasan atau enggak harus buka aplikasi dulu, baru notif masuk. Lucu sih, setiap update katanya buat meningkatkan pengalaman pengguna, tapi yang ada malah makin banyak masalah. Tolong beresin yang penting-penting dulu sebelum nambah fitur baru",0
giliran saya tidak ngapa ngapain ke blokir pas ada orang kirim stiker berbau +18 saya report wa dia tidak terjadi apa apa mohon di perbaiki soalnya banyak pengguna yang Masi di bawah umur!!!,0
mantap,1
"sok-sokan mau update banyak banyak, Sw noh hd in burem mulu 😹",0
apk no iklan,1
"sekarang beranda ku udah ramai, udah punya my kisah loh ya, tetap keren wangsaff semoga tidak menjadi kikir seperti apl lain #semuaaplmilik?allah🙏🏼",1
terlalu banyak iklan,0
kalian sudah update belum,1
sangat baik,1
💯👍🙏,1
wnatSApp mesSanger,1
"aplikasi sangat mudah dimengerti,saat ini ada promo naik daya cuma beli pulsa 5000 sudah dapat voucer untuk naik dayanya ,terimakasih pln",1
𝒃𝒂𝒈𝒖𝒔 𝒈𝒖𝒔,1
"hallo tim whatsapp, tolong diperbaiki whatsapp ini, banyak sekali bug gajelas, tolong di perbaiki segera. makasih.",0
bagus,1
iya lumayanlah tinggal update meta AI nya biar lebih canggih,1
Mantap,1
tolong perbaiki bug kamera vc (video call),1
Hsan,0
"halo kok saya tidak bisa login ya, katanya login saat ini tidak tersedia",1
keren,1
karnaa bgssss,1
sangat memuaskan aplikasi ini,1
"knp di update trs, memori ku penuh",1
"gajelas,ga resmi ga resmi gitu, pdahal saya resmi dari play store",0
tolong ya hapusin iklan yang di status ya,1
ok bangett,1
31 05 2026._,1
baguss🤩🤩,1
developernya terlalu maruk🗿,0
sangat bagus,1
tidak bisa upload foto layout,1
bagus,1
Wow,1
whatsapp apaan dah main blokir akun orang tololl baru kebuka udh di blokir lagi,0
bagus banget no komen,1
saya sangat2 puas benar2 membantu kesulitan selalu bisa di butuhkan sewaktu waktu,1
ok,1
bagus baget,1
oke,1
gabut,1
"WA skg knp kayak gini sih? Masa Dalam 1 WA kan ada 2 akun. kenapa di akun 1 story nya juga muncul di akun ke 2. Kan beda nomer. Asli sih ganggu BGT. kalo di hide, ngaruh ke kedua akun. Trs Story Video jelek bgt. padahal kualitas vid sudah HD tapi pas dibuat story jelek parah kualitasnya. Sering nhe Bug juga. tetiba keluar dari apk. Gak suka deh!! Tolong donk di perbaiki lagi!",0
bagus banget bang buat kumpul keluarga,1
Bagus,1
"perbaiki bug vidio call, udah banyak yg ngeluh noh",0
"Masak aplikasi setiap bulan kok memperbarui terus, gimana ni",1
fiturnya semua bagus,1
jangan hapus,1
i like app,1
bagus wajib di download,1
sangat bagus cuma ada penyesalan aring meng hubungkan saya kecewa sedikit 80%,1
ok,1
lagi sibuk,0
bagus,1
dari banyaknya nomer di wa kenapa ga ada nomer kamuu😔,1
ok,1
baik,0
Shueuei,1
👍🏻,1
tidak bisa daftar,1
"kebanyakan update ga guna, perbaikan bug aja dulu. biar ga delay pesan nya",1
whatsApp messenger mmg membantu kami berkomunikasi,1
"Kenapa whatsapp saya memuat teruss tidak bisa digunakan sekarangg ,tidak bisa log in krna ke logout",0
nomor telepon sulit di verivikasi kan,1
Sangat bagus,1
😉😉☺️☺️😉,1
wa knp klo kita bikin status burem jadi g bagus nnti klo udh g burem kukasih bintang lima,1
oke sip bagus lumayanlah hhe,1
bagus aplikasi whatsapp,1
bagus. sangat membantu,1
Ok,0
wa lagi kenapa sih pas vc tiba tiba nglg udah berapa kali kek gini giliran update malah makin ngeleg,0
bagus baik,1
good,1
Karena sangat membantu untuk saya,1
"sekarang wa saya sudah sangat baik,, dan baguss terimakasih atas erbikpaaa apk nya,,,,",1
ini kanapa WhatsApp saya di blokir terus bukan ada sya spam wa ini saya penting banget,0
sangat membantu berkomunikasi dengan keluarga,1
trus aja apdet ai bikin status pake emoji jadi gabisa skrg mh,0
"It's good, but the WhatsApp status graphics are getting blurrier and blurrier when sending photos or videos that are already HD but they still become blurry. Please fix WhatsApp's graphics.",1
mantaff cess apk nya,1
mantap,1
mantap banget 😁,1
good application for all,1
lumayan,1
aku ingin menjadi konten kreator,1
bermanfaat,1
Sangat membantu saya untuk terhubung dengan keluarga dan teman semua,1
"Sangat Membantu Komunikasi dengan Kerabat,keluarga..",1
pler,0
aplikasi nya bagus cuman dri tadi tuh dengerin audio ama voice chatnya daritadi bikin layar jadi hitam terus 🥀🥀,1
terimakasih telah memberikan amplikasi wa ini.. ini sangat membantu saya untuk berkomunikasi..terimakasih,1
kenapa wa saya ga bisa di buka,0
"apasih update terbarunya GAK GUNA bgt, gambar kejeda terus. JELEKKKKK",0
sekarang gampang terbelokir,1
aplikasi ini bagus banget,1
sangat oke 👍,1
bagus aplikasi nya,1
mantap,1
WhatsApp adalah untuk bisa komunikasi dengan orang dan kebijakan WhatsApp messenger yang sangat tajam dan berwibawa pada semua orang seluruh Indonesia dan luar negeri,1
aplikasi yng bagus,1
kenapa WhatsApp g bisa di masukan no tiap di masukkan ni kata nya WhatsApp tidak resmi.,1
sangat baik,1
Terlalu ribet,1
SIAL MAKIN RUSAK WA NI UPDATE BUKAN MAKIN BETOL MAKIN RUSAK,0
sangat membantu,1
dengan aplikasi ini sangat membantu kegiatan saya,1
WhatsApp tolonglah sudah 5 kali mamak ku ganti nomor tpi tetap gk bisa akun sedang ditinjau terus ganti hp pun tetap gk bisa juga tolong gimana ini kebijakannya,0
ok,1
tidak ada efek kamera,1
tdk bisa kebuka aplikasi WA,1
ojo di update maneh,1
sangat bagus,1
bagus,1
"I don't like this WhatsApp application because, as soon as I entered my cellphone number, it was blocked and it said, this account is being reviewed, I ask you to remove this feature.",0
aplikasi ini sudah di install tapi tidak muncul di desktop...bagaimana solusinya,1
"kok wa gw keblokir permanen mendadak gw salah apa njirrr,gw nga pernah nyepam",1
tetap aman dan sehat selalu,0
bagus sekali,1
tlg jelaskan masala wa saya atau tlg pulihkan,1
"setelah di update,fitur vc nya tambah rakaruan bnyak sekali bug nya😭",0
kurang baik pelayanan nya,0
kalaupun ada hanya sekedar sehat secara keseluruhan dimana Allah yang maha esa yang telah ditetapkan sebagai tersangka kasus dugaan penerimaan suap impor dan taman,1
WA gw ngebug woi!,1
kode otp,1
ok,1
video tidak sesuai,0
"Sekarang jadi makin ribet buat ngirim gambar ditambah teks jadi selalu ke cancel, udah ngetik panjang² tapi begitu scroll sedikit ke atas malah hilang.",0
sangat baik,1
oke,1
bagus,1
nih kasi bintang 5 jangan tinjau melulu,1
snagat membantu,1
"kalo vc an ngebug ,masa layar kecil sama layar besarnya mukanya sama semua,benerin lagi ya nanti",1
jos jis,1
"haii Whatsap, ak udah nyalain fitur efek di kamera , tapi kok tetep tidak ada ya",1
Perbaharuiwhats app,1
"aplikasi ini sangat bagusss, cuma saran saya tolong jangan kompres video di Story biar kita bisa posting video HD dna ga ngeblur",1
baik,1
jangan di bikin ada premiumnya ya min vc aja masi mirror mana sw masih burem jangan sok di bikin wa premium ya🥰,1
bagus dan terbaik dipakai saat ini,1
sangat membantu komunikasi,1
jji,1
Nice,1
menurut ku aplikasi ini bagus banget buat komunikasi bareng temen dan orang lain. fitur nya juga banyak banget walaupun gak semua orang pakai tapi tetap sangat membantu. aku ada saran nih tambahkan fitur baru di grup yang bikin kita bisa berbisik ke beberapa orang yang kita tuju untuk menjaga kerahasian pesan penting,1
Mau download wa tapi gak punya playstore😔,1
keren,1
Ga cocok untuk hp 128 gb,0
SW GUA GD DI TEMEN SYALL!,0
moga makin inofativ,1
lumayan,1
sangat bagus dan membantu berkomunikasi..,1
kurang bagguss,0
bagus,1
"grafik wa nya kurang bagus agak"" burem gitu kalo kita post story",1
mantep,1
"kok WhatsApp sekarang makin jelek sii, mau vc ajaa gabisa liat diri sendiri,gabisa diubah kayak biasanya hadeuhh kenapa aplikasi yang awalnya bagus menjadi jelek beginii makin burik ajaa, TOLONG PERBAIKI KALAU TIDAKK SEMOGA AJAA GADA YANG MENGGUNAKAN APLIKASI INIII,SEMOGA AJA RATINGNYA AKAN SEMAKIN MENURUN AAMIIN",0
aplikasi yg sangat sangat penting dan berguna,1
Semoga bagus fitur lngkap dan aman,1
stop update lu semakin update semakin aneh klo bukan soal kerjaan gak gue pake lu,0
terbaik,1
berguna,1
Yang pasti berguna untuk semua orang,1
sangat menyenangkan,1
enak banget. aplikasi,1
"kalau bisa ada Mode offline nya sih , karena gak di semua daerah ada jaringan . walaupun cuma sebatas ngirim pesan",1
wa sekarang ga aman enak banget di sadap orang lain,0
bgussd,1
apk tolol,0
👍🏻pokok nya 👍🏻,1
sangat bagus,1
sangat cocok dan seru,1
bestt bgtt,1
sangat sangat bagus Aplikasi ini,1
ok,1
sayaa tidak adaa filter pas vc,1
mantap,1
tidak menerima kode,0
faa,1
saya menyukai aplikasi WhatsApp karna di whatsapp bisa mengirim chat atau video dan bisa membuat status,1
adalah pokonya,1
👍👍,0
"Kenapa fitur Share Live Location jadi hilang? Terus, seriusan ini WA bakal ada biaya Langganan kyk awal sebelum di ambil alih sama Facebook/Meta?",1
sangat bagus dan canggih dan bisa untuk menelpon atau chatnya teman jika butuh sesuatu,1
tidak bisa log in,0
bagus dan sukses selalu,1
baik,1
bagus,1
nice this application quality and the best,1
Aplikasi sampah,0
aplikasi wangshapp ni ................,1
yaa...,1
aplikasi ta berguna,1
seruu,1
theee besttt poko nyaaa,1
bagus,1
"WhatsApp tolong perbaiki kualitas video dan foto yang mau di unggah, masa video HD atau foto HD pas di post di story WhatsApp malah blur, antara hp aku yang emang burik atau WhatsApp nya yang bermasalah, tapi sejauh ini aku liat story temen temen ku juga pada blur story nya even hp nya Iphone, tetep aja gabisa HD, ke kompres mulu kualitas nya, tolong perbaiki ini.",1
info akun dan prrangkat baik,1
kenapa akun wa saya di tinjau,0
bagus dan menarik,1
very useful woww,1
mantaf,1
aku gk bisa login di wa 🤬🤬,0
good,1
mantap 😁😁😊,1
y we lah,1
signal jelek macet macetò,1
ok,0
baik sekali,1
tidak bisa di dowlod aplikasi nya,0
tidak ada iklan,1
𝘨𝘬 𝘣𝘪𝘴𝘢 𝘥𝘪𝘣𝘶𝘬𝘢 𝘴𝘢𝘮𝘢 𝘴𝘦𝘬𝘢𝘭𝘪,0
"suka,tapi jangan sering upgrade ya",1
mehhh mau up sw buriq baikin grafik sw nya ajg🥰 bokep aja hd masa sw GK hd gmn sih🥰,0
gtw lah cape liat fitur nya pas Vdcalll tuh udh kamera depan pas mau di perbesar malah balik ke orang yang kita vc jadi ada 2 bukan nya perbesar vc kita malah 22 nya jdi kamera dia,0
banyak manfaat,1
sangat membantu...yg terpenting adalah tanpa biaya,1
"bagus sih..,tapi ditabletku gabisa",1
"coba kalo ngirim foto atau vidio jangan burem, teruss sama sw jugaa",1
👏,1
kadang susah kalo liat status,1
oke,1
Please remove gif picture search thats not aporopriate for children,1
terbaik,1
nice,1
tidak iya iya,1
sangat baik,1
aneh sering keblok sendiri nomor saya,0
"plis lah WhatsApp lu kenapa si, setiap gua ngirim Vidio selalu pecah gambar nya?di hd udah apa gunanya hd coba kalo Sam sekali ngga ngefek. bagusan juga WhatsApp yang dulu ga ada hd hd an gapernah pecah gambar nya.",1
sangat memuaskan,1
aplikasi ini memuaskan saya untuk mendapatkan game yg saya mau terimakasih yh..,1
senang bisa komunikasi d whatsap. tau kanar teman saudara ❤️,1
"wa saya tiba tiba ditinjau, dgn alasan tidak memakai wa resmi pdhl saya donwload di stroe lgsg aneh. dn gbs msuk lgi",0
tiba tiba ke blok mau mulihin no gak bisa apasih nih aplikasi mau nya,0
bagusss banget skg,1
bug translet gak bisa di download,1
bagus,1
bgus,1
Saya tidak bisa menggunakan whatsapp karena nomor saya keluar sendiri dan tidak bisa di klarifikasi oleh whatsapp,0
buat lebih efisien,1
sangat bagus,1
jika ganti perangkat susah atau lama terperipikasi,1
whatsapp ini sangat berguna,1
bagus bangettt jadi lebih bisa chetan sama besti,1
sangat bagus memudhkan iteraksi y,1
bagus,1
anjay,1
"update macem apa ini,vc jadi aneh.tolong segera perbaiki!!!",0
ok,0
komang Radit abang marah zjZb,1
lumayan lah,1
bagus,1
sangat membantu untuk bersilahturahmi bisnis dan lain lain,1
terbaik,1
sering lag lag,0
WhatsApp ini membantu saya berkomunikasi dengan irang luar makasih,1
good,1
bguss,1
realme C21,0
"Napa sihh ni wa knp aku bikin sw tapi vd nya ga sampai habis!?!!,nyesell bgtt ngeupdate!!!!🙄👎🏻👎🏻",1
WhatsApp itu penting banget kalook di hp,1
lebih baik di perketat lagi,1
bagus,1
minta poto kartu apa saya tidak punya kartu,0
aplikasi sangat membantu dalam kehidupan sehari-hari,1
"tolol.. kebijakan terbodoh.. wa pakek nomor hp baru dan mau mengabari kerabat dan teman"", malah di kira spam. alhasil wa dan nomorku angus.. lantas bagaimana cara mengabari semua teman dan kerabat ketika menggunakan nomor WA baru.. ? jabatan elit, otak sulit",0
knpa stl di-update WA saya tetap nggak bisa dibuka,1
aplikasi ini sangat berguna untuk berkomunikasi jarak jauh,1
sangat puas,1
untuk komunikasi,0
bagus,1
panggilan video selalu putus2,1
sangat penting,1
Ok,1
sangat terbantu,1
Aplikasi sangat membantu dalam berkemunikas,1
good app,1
free,1
Bagus,1
Lumayan,1
aktipkn,1
bagus sudah tali efek nya tdk ad,1
error,0
mantap cuyyyyyyy,1
keren,1
goodluck,1
sangat membantu,1
Ok,1
handphone saya Ter restart pabrik dan saya tidak bisa login karena WhatsApp meminta kode otp dari perangkat lama,1
"saya tidak suka dengan vitur baru di wa yang vidio call nya, kembalikan seperti duluu",0
perbaikin soal Sw masa vidio 1080p jadi buram gak karuan tulisan gak kebaca serasa kaya vidio bokep aja d sensor sensor perbaiki segera,0
Oke,1
Hhu,1
nice,1
terimakasih,1
Lama donlod,0
nomor saya tiba-tiba keblokir tanpa sebab,0
cadang WhatsApp messenger gratis,1
Sangat membantu sekali,1
maap saya tidak bisa membuka whatsap,1
Halo Whatsaap kenapa akun saya seLaLu kena tinjau,0
lumayan,1
WhatsApp sangat membantu saya,1
KEBANYAKANNN KENONN ANJNGG ILANGINN LAHH SPAMM DOANG KENAA BATASSS EMANGG BELI KARTU MURAH HAHH IDIOTTT,0
pinda kan uang ke dana,1
"kenapa wa saya minta verifikasi terus? stelah saya masukkan nomer, blk lg minta verifikasi. dan itu bberulang terus sp akhirnya wa sy tdk bs di buka....",1
"Knp wa saya kalo seseorng di arsip, lalu pas mereka balas pesan lg tidak masuk branda wa tetapi masuk notifikasi, setelah di klik dr notifikasi ada chtnya, jika sudah keluar room cht, tidak ada profilnya lg dan chtnya yg muncul baik di arsip maupun di beranda",0
mantap,1
puas,1
kebijakan wasap ini bagai mana wasap gak bisa di buka tolong bagai mana biar bisa di pake lagi,1
oke,1
"aplikasi sudah cukup bagus dan update,tapi kanapa selalu kena blokir?apa itu salah satu updstean WhatsApp?sumpah sekarang WhatsApp jelek banget, bales chat aja sampe ke blokir,saya kurir paket sampe kesusahan kalau gini",1
email dan nomor hp semua milikku sendiri atas nama data pribadi saya,1
sangat bagus,1
Good,1
bagus,1
luar biasa sangat 👍,1
sangat baik,1
cakep,1
PT Arta prigel,0
"tolong ni ye atmin peka dikit, kalo ngepost status/ngirim ke orang lain jangan di kompres,jadi buriq 8 bit pula,mohon di pertimbangkan karena sangat meresahkan dikira grafik kartel jadinya.",0
bagus sangat bergunanya,1
baik,1
berapa banyak lagi saya dan orang lain mengganti nomor telfon untuk memenuhi kebijakan bodoh ini? Tolong dijawab?,0
tolong,1
tolong fitur kamera pas vc jangan miror,0
buka,1
"bang meta benerin bug pas nelpon suaranya sudah hilang,kalo sudah di benerin aku janji bakal kasih bintang 5, oh iya btw sinyal ku udah bagus jadi jangan bilang kalo sinyal ku burik makanya suaranya bisa hilang...",0
aplikasi bisa d gunakan dengan baik,1
Sangatbagus,1
di tinjauw terus,1
bagussss tp filtur wa nya sekarang error banget tolong di diperbaiki,1
hm keren,1
makin update makin kacau,0
di aku belum ada filter saat panggilan video,1
m3 makin anehh,0
makin di update semakin ngaco,0
min tambahin fitur kick orang dari saluran pls,1
di nomer saya kenapa susah kebukanya,0
"masa aku Nga ngapa ngapain wa aku ke kenon mana langsung ke kenon permanent lagi isinya banyak kenangan semua,harus beli kartu baru hadehh",0
halo min KNPA skrng vitur vc d WhatsApp seprti blank ngelag dan muka kita JD GK ada ketika d pencet kamera tolong d perbaiki,0
ssa,1
ok dech,1
"buat fitur yang jelas lah, masa pas vc klik layar mau besarkan kamera kita tiba tiba error gak bisa di balikan lagi",0
sungguh sangat membatu saya dan sangat aman,1
ok,1
"apasih knp wa ku sukak kl terapos sndiri cetan cetanny, tbtb keriset sndiri, cetancetan lm teapos smua, kobtolah whatsap",0
kontak tiba tiba hilang,0
bagus,1
fitur foto sementara ilangin aja. ganggu,0
"banyak bug nya sekarang, lagi penting'nya whatsapp buat kerja, sadapan perangkat pendamping sering log out sendiri, kadang suka force close terus menerus karena perangkat pendamping log out tanpa sebab",0
Bagus,1
"tiba tiba tidak bisa dibuka padahal tidak dipakai sembarangan,kadang mau kirim tidak bisa kirim pesan.",1
bagus,1
Sangat membantu,1
"buruk, kenapa mau login wa aja dipersulit??? bangke emg wa ini",0
Dini rohani Jun,1
Ok,1
bagus,1
kau bikin ayangku cedih karna kau ilangin chat nya wa sialan,0
knp wa saya jadi kayak wa jadul? padahal udah update.,1
Bagus 👍,1
saya suka,1
aneh bgt tau2 wa gua dibatasi.,1
"bug vc, cepet benerin",0
makin eror ketika vc an dan mau perbesar muka sendiri malah cekkak makin ga enak tolong diperbaiki,0
Sangat membantu,1
sya TDK mendapatkan kode ferivikasi 6 digit sya,1
bagus,1
wa aku error,1
Ws mmgteebaij,1
kenapa no saya tidak bisa di daptarkan,1
kontak udah di save pas update malah hilang,1
makin update makin bnyak bugnya🗿 cihhh,0
"untuk tim WhatsApp jangan kebanyakan nambahin fitur baru dulu kalo bug masih banyak,di mulai dari bug terkena spam ada banyak orang yang sama sekali tidak melakukan spam tapi masih terdeteksi oleh bot alasan nya melakukan spam,padahal tidak sama sekali melakukan yang nama nya Spam chat sooo + bug verify merah alias saya kemaren baru membeli kartu baru dan mendaftar kan no tersebut tapi tidak bisa alasan di suruh makek WhatsApp resmi padahal aplikasi yang saya pakai tersebut resmi dari play store",0
ok,1
terima kasih,1
kalo bikin sw kenapa jadi burem,0
sangat baik,1
kenapa vc nya sering eror diperbarui,0
Sangat bagus,1
halo tim dukungan whatsapp saat ini akun whatsapp saya memerlukan aplikasi versi Resmi padahal saya telah menggunakan aplikasi versi resmi mohon tinjau akun saya segera selesaikan masalah ini,0
suara lawan bicara nggk jelas.. burem padahl sinyal bagus,0
😁,1
bug chat wa telat muncul woi 💢,0
sangat baguus,1
assalamualaikum warahmatullahi,1
kalau bisa ditingkatkan lagi soal keamanan,1
bagus,1
aplikasi nya baguss...,1
Fitur nya sangat bagus,1
yo WhatsApp! too much gasi kalo aku minta fitur arsip status?? kalo bisa yg udh kadaluarsa alias yg udh luamaa juga adain lagi plss (ngelunjak) jujur kangen dan penasaran se-alay apa diriku dulu membuat sw wkwk,1
Mantap,1
buat apa bio WhatsApp di kasi timer?,0
jllek,0
mantap,1
kenapa ya saat Videocall gabisa pakai kamera depan gimana cara agar bisa kamera depan,1
baik menarik tapi sayang motif yang dulu aku sering tunggu dah gada dah bahagia Sam pilihan nya jangan pernah jadi pelangi buat orang yang buta warna tapi jadilah petir untuk melengkapi alur cerita nya ingat sebaik apapun kita di dalam kisah dan cerita itu tetap saja di matanya kita lah penjahatnya lebih baik undur diri lalu sadar diri memperbaiki diri dari pada bertahan tapi tak kunjung di hargai 😌😊,1
"whatsap eror kamera ya pas video call, gk bisa ganti posisi saat video call.",1
nice,1
👍,1
buruk,0
"WhatsApp tolol, gara-gara logout sendiri data jadi ilang semua, kasih peringatan biar ada waktu backup data dulu kek..👎👎👎👎👎",0
fitur vc nya ngelag Mulu pas bagian mau pindah² muka kita sama lawan call gabisa malah double,0
ok,1
sangat puas,1
mantap,1
"Halo WhatsApp, mohon hadirkan fitur verifikasi via email. Banyak pengguna, termasuk saya, kehilangan akses akun karena nomor HP sudah Mati. Padahal di dalamnya ada chat mantan dan memori berharga yang tidak tergantikan. Tolong kebijakannya agar data kenangan pengguna bisa diselamatkan tanpa harus bergantung pada nomor telepon. Terima kasih",0
Keren sih,1
sangat membantu,1
Kenapa watsapp tidak bisa dipakai pakai data celuler?,0
"developer yang terhormat, saya puas menggunakan WhatsApp , tapi tolong tambahkan saat update nanti ,kita upload story tampilkan berapa kali orang yang memutar vidio story tersebut",1
"fitur vc nya kock, bnrin lgi ni.",0
mantf,1
aplikasi yg membantu,1
Luar biasa,1
Sangat bagus ✌🏿✌🏿,0
"kenapa wa tiba"" loguot sendiri...pesan yg simpen d arsip semua hilang..",0
wa nyuru updt tapi ga bisa di updt gimana si sistemnya,0
mantapss loveee,1
sangat baik,1
sangat memudahkan saya,1
baik,1
"ini kenapa wa saya tbtb keluar trs dri apk dan ada tulisan ""WhatsApp terus berhenti . tolong gmn cra ngatasinnya",0
sangat mantap tapi saya ga bisa login ke whatsapp nya,1
mantap,1
"Halo dukungan WhatsApp,saya salah satu pengguna WhatsApp Sayangnya akun WhatsApp saya telah Diblokir saya maap telah menginstal aplikasi pihak Thard karena kesalahan. SAYA MEMINTA UNTUK MEMBUKA BLOKIR AKUN SAYA. Terimakasih.",1
ok,1
parah... tibatiba akun tautan logout sendiri. dan semua media ikut kehapus,0
bagus,1
kenapa akun saya tidak bisa masuk,0
menenangkan,1
"whatsApp tidak bisa masuk hanya memuat terus, apa solusinya?",1
"gajelas kenapa hrus ada iklan aneh, ntah apa maksudnya berlangganan gajelas bgt sok Iya bgt!!",0
gak bisa di pake di HP baru,0
ok,1
tolong perbaiki aplikasi whatsApp ko punya saya ga bisa Mulu whatsApp nya,1
sedikit kata semakin menelan kuota bkn semakin efisien justru tambah semakin borossss itu buruk!1,0
"Halo, Saya ingin mengajukan banding mengenai akun WhatsApp saya yang dibayasi secara tidak adil, Saya merasa tidak pernah melanggar ketentuan apapun di WhatsApp. Tolong tinjau akun saya dan segera selesaikan masalah ini.",1
bagus,1
Burukk terlalu banyak iklan dan sering bug,0
cara memulih kan numur yang terhapus...dihpe saya...,1
enak,0
"udah jelek banget orang yang di private tetap bisa liat sw kita, trus kita ngga bisa ss in nomor orang, ngga bisa kasi liat nama nya apa yang kita sv in kedia,kaya dia itu ngeprivate yang ngga perlu tapi yang perlu di private malah ngga di private, vc nya jga suka ngelag, pkoknya wa skrng jelek bgt, coba aja story munculin fitur boleh ss in story dan ngga nya psti bgs bgt trus bisa in ss nomor atau ngga pp atau ngga biar org tu bisa nentuin privasinya sendiri, trus ketatin juga privasinya gitu",0
itu guna nya buat apa? jsvshe ehehegejesssvsjs hiv hsbsvehsv xoxox Krista Jackson dioxide dioxide audits iconic Australasia's kakakakakakkaaka Alaskans Arkansas Arkansas arkans Giffgaff Google Google maps jjjjjj kickboxing focus icon Lubbock king know king king know king knock knob LVMH knock knock McDonald o padlocks official judicious iconic judicial Nvidia tic music no knock music,1
saya tidak bisa menambah kontak orang,0
sangat bagus,1
jelek,0
"bintang setengah aja, kurang pengawasan yang buat aplikasi. mass iyaa kalo call sukaa mati mati sendiri.",0
fitur vc ny jadi mengesalkan tolong kalau mau memperbaiki fitur itu ngotak - ngotak yaa tolong untuk bagian pengembangan,0
